,,2030,2030,2040,2040,2050,2050
,,min,max,min,max,min,max
country,carrier,,,,,,
AT,onwind,4549.24,8400,11600,33000,11800,41000
AT,solar-all,14421,28981,28000,34000,29000,53000
BE,offwind-all,2411,3251.8,7360,8000,7360,8000
BE,onwind,3416,5580,9400,9600,10000,13600
BE,solar-all,13371,16730,29500,35000,41500,55000
BG,onwind,783,1990,3600,4090,5450,9000
BG,solar-all,6942,8000,8000,12150,9100,13240
CH,solar-all,7389.92,9800,10100,16000,13000,20000
CZ,onwind,1502,2062,2500,3465,4500,5445
CZ,solar-all,5831,11431,12301,14000,22000,25838
DE,offwind-all,24000,30000,55000,73000,65000,71000
DE,onwind,94090,115000,160000,168000,158000,192000
DE,solar-all,215000,299000,366000,400000,456000,507000
DK,offwind-all,8000,14150,27000,32000,37000,43000
DK,onwind,6450,7300,5910,11000,5490,11000
DK,solar-all,6600,25470,22000,44960,51000,54060
EE,onwind,1132,2680,860,3200,860,3200
EE,solar-all,1154,2674,3200,3300,3500,4000
ES,offwind-all,,2800,2800,4900,2800,5800
ES,onwind,32959,57522,81000,89000,92000,130000
ES,solar-all,53300,104330,113000,126000,136000,142000
FI,onwind,19640,26000,45979,59000,49979,88000
FI,solar-all,9450,10700,20049,40000,28049,63000
FR,offwind-all,3600,4114,26400,30171,49200,56228
FR,onwind,31000,35428,39000,44571,47000,53714
FR,solar-all,48000,69818,62000,90181,110545,149060
GB,offwind-all,52000,54540,96000,101627,100457,111000
GB,onwind,29930,32000,38056,45000,43527,54000
GB,solar-all,35000,41000,55000,86109,64000,109288
GR,onwind,6248,8900,11001,17900,12456,27800
GR,solar-all,12530,24490,26184,31000,35051,46800
HR,onwind,830,1400,830,2500,830,3000
HR,solar-all,750,1900,1090,2000,2300,3200
HU,onwind,366,1090,2000,4000,3000,7462
HU,solar-all,9900,14420,16341,18000,18156,23000
IE,offwind-all,5000,8100,11000,12000,12000,15000
IE,onwind,9000,9300,10000,12000,11000,12000
IE,solar-all,8100,11000,9600,12250,12000,17000
IT,offwind-all,,2100,12100,13600,15030,19000
IT,onwind,16300,26040,24000,32500,36000,40000
IT,solar-all,65200,79260,116010,121000,237000,244540.42
LT,onwind,5000,5456,5400,6500,5600,10000
LT,solar-all,4100,5000,7000,7600,7600,9000
LU,solar-all,856,1336,1205,1900,1485,2200
LV,onwind,290,580,350,1286,350,1286
LV,solar-all,320,1290,480,1545,610,1545
NL,offwind-all,12097,17000,38000,44590,52000,62590
NL,onwind,8059,9739,10550,15000,13000,20000
NL,solar-all,53036,59000,68000,87106,100000,116920
NO,offwind-all,5209,5800,3800,10000,5800,10000
NO,onwind,5200,5800,6831,7000,7000,8738
NO,solar-all,2414,4000,8500,10000,9000,12000
PL,onwind,14000,19028,25815,40000,33008,60000
PL,solar-all,22000,28976,46293,48000,54000,55025
PT,onwind,8969,10400,11643,13000,11643,13000
PT,solar-all,14375,16000,24038,29000,24038,29000
RO,onwind,6000,7385,8500,9800,9000,18300
RO,solar-all,8300,12550,16000,21400,33000,34000
SE,onwind,18000,20359,25253,35000,30662,49000
SE,solar-all,6861,7300,13589,37000,20319,47000
SI,solar-all,2800,5832,6300,7771,7200,7781
SK,solar-all,1400,2000,2210,3200,3200,5000
