Data center dominance,,,,,,,,,
demand in TWh,2022,2024,2030,2035,2040,2045,2050,2055,2060
DE,,19,26,36,57.48,60.77,61.79,62.08,62.17
FR,,13,18,25,39.33,41.58,42.27,42.48,42.54
GB,,11,15,21,33.28,35.18,35.77,35.94,35.99
NL,,8,10,12,24.20,25.59,26.02,26.14,26.18
IE,,6,8.5,12,18.15,19.19,19.51,19.61,19.63
ES,,6,8,12.5,18.15,19.19,19.51,19.61,19.63
NO,,3,4.5,6,9.08,9.60,9.76,9.80,9.82
IT,,3,4,6,9.08,9.60,9.76,9.80,9.82
SE,,2.5,5,6,7.56,8.00,8.13,8.17,8.18
FI,,2,3,6,6.05,6.40,6.50,6.54,6.54
PL,,3,6,9,9.08,9.60,9.76,9.80,9.82
DK,,2.5,6,9,7.56,8.00,8.13,8.17,8.18
BE,,2.5,3,6,7.56,8.00,8.13,8.17,8.18
CH,,2.5,3,5,7.56,8.00,8.13,8.17,8.18
AT,0.75,0.84,1.20,1.62,2.18,2.93,3.94,5.31,7.15
CZ,0.61,0.68,0.98,1.32,1.77,2.38,3.21,4.32,5.82
GR,0.36,0.41,0.59,0.79,1.06,1.43,1.93,2.59,3.49
LU,0.30,0.33,0.47,0.64,0.86,1.16,1.56,2.10,2.83
PT,0.30,0.33,0.47,0.64,0.86,1.16,1.56,2.10,2.83
RO,0.16,0.18,0.25,0.34,0.46,0.61,0.83,1.11,1.50
BU,0.16,0.18,0.25,0.34,0.46,0.61,0.83,1.11,1.50
HU,0.19,0.22,0.31,0.41,0.56,0.75,1.01,1.36,1.83
SK,0.12,0.14,0.20,0.26,0.35,0.48,0.64,0.86,1.16
EE,0.16,0.18,0.25,0.34,0.46,0.61,0.83,1.11,1.50
