,node,p_nom
0,AL2 0,0.1
1,AT2 0,0.1
2,BA2 0,0.1
3,BE2 0,0.1
4,BG2 0,0.1
5,CH2 0,0.1
6,CZ2 0,0.1
7,DE2 0,0.1
8,DE2 1,0.1
9,DE2 2,0.1
10,DE2 3,0.1
11,DE2 4,0.1
12,DK0 0,0.1
13,DK2 0,0.1
14,EE2 0,0.1
15,ES2 0,0.1
16,ES6 0,0.1
17,FI0 0,0.1
18,FR2 0,0.1
19,FR2 1,0.1
20,FR2 2,0.1
21,FR2 3,0.1
22,FR2 4,0.1
23,FR2 5,0.1
24,FR5 0,0.1
25,GB1 0,0.1
26,GB1 1,0.1
27,GB3 0,0.1
28,GR2 0,0.1
29,HR2 0,0.1
30,HU2 0,0.1
31,IE3 0,0.1
32,IT2 0,0.1
33,IT2 1,0.1
34,IT4 0,0.1
35,LT2 0,0.1
36,LU2 0,0.1
37,LV2 0,0.1
38,ME2 0,0.1
39,MK2 0,0.1
40,NL2 0,0.1
41,NO0 0,0.1
42,PL2 0,0.1
43,PT2 0,0.1
44,RO2 0,0.1
45,RS2 0,0.1
46,SE0 0,0.1
47,SI2 0,0.1
48,SK2 0,0.1
49,XK2 0,0.1
