run,scenario,cap_fraction,year,system_cost_bn_eur_per_yr,grid_revenue_bn_eur_per_yr,grid_revenue_added_bn_eur_per_yr,dso_revenue_bn_eur_per_yr,dso_revenue_added_bn_eur_per_yr,tso_ac_revenue_bn_eur_per_yr,tso_dc_revenue_bn_eur_per_yr,tso_revenue_bn_eur_per_yr,tso_revenue_added_bn_eur_per_yr,network_revenue_bn_eur_per_yr,grid_capacity_gw,energy_delivered_lv_twh,lv_electric_load_twh,heat_pump_electricity_twh,resistive_heater_electricity_twh,bev_electricity_twh,electrified_lv_demand_gross_twh,electrified_lv_demand_twh,lv_load_shedding_twh,load_shedding_twh,load_shedding_cost_bn_eur_per_yr,peak_delivery_gw,tariff_vs_electrified_demand_eur_per_mwh,dso_tariff_eur_per_mwh,tso_tariff_eur_per_mwh,network_tariff_eur_per_mwh,tariff_vs_gross_electrified_demand_eur_per_mwh,network_tariff_vs_gross_demand_eur_per_mwh,tariff_vs_throughput_eur_per_mwh,tariff_vs_lv_load_eur_per_mwh,capacity_tariff_eur_per_kw_yr,system_cost_eur_per_mwh_served,non_grid_cost_bn_eur_per_yr,non_grid_cost_eur_per_mwh_served,non_network_cost_bn_eur_per_yr,non_network_cost_eur_per_mwh_served,fossil_fuel_expenditure_bn_eur_per_yr,elec_generation_twh,elec_generation_generators_twh,elec_generation_hydro_twh,elec_generation_thermal_twh,elec_capex_bn_eur_per_yr,elec_capex_generators_bn,elec_capex_storage_bn,elec_capex_thermal_links_bn,elec_vom_bn_eur_per_yr,elec_fuel_bn_eur_per_yr,elec_production_cost_bn_eur_per_yr,elec_production_cost_eur_per_mwh,elec_capex_eur_per_mwh,elec_vom_eur_per_mwh,elec_fuel_eur_per_mwh,elec_capital_only_eur_per_mwh,elec_fom_in_capex_eur_per_mwh,elec_om_plus_fom_eur_per_mwh,ec_table20_s2_eur_per_mwh,elec_production_cost_vs_ec_s2_eur_per_mwh,new_grid_annualised_bn_eur_per_yr,new_grid_overnight_bn_eur,new_grid_overnight_bn_per_yr_over_decade,ec_table16_s2_grid_bn_per_yr,new_plants_annualised_bn_eur_per_yr,new_plants_overnight_bn_eur,new_plants_overnight_bn_per_yr_over_decade,ec_table16_s2_plants_bn_per_yr,new_other_annualised_bn_eur_per_yr,new_other_overnight_bn_eur,new_other_overnight_bn_per_yr_over_decade,ec_table16_s2_other_bn_per_yr,new_excluded_annualised_bn_eur_per_yr,new_supply_overnight_bn_per_yr_over_decade,ec_table16_s2_supply_bn_per_yr,tariff_index_build_100,network_tariff_index_build_100,network_revenue_index_build_100,electrified_demand_index_build_100,grid_revenue_index_build_100,delta_system_cost_vs_build_bn,grid_revenue_withheld_vs_build_bn,tariff_change_vs_build_eur_per_mwh,tariff_saving_vs_build_eur_per_mwh,network_tariff_change_vs_build_eur_per_mwh,network_tariff_saving_vs_build_eur_per_mwh,net_system_cost_penalty_per_eur_grid_withheld,gross_non_grid_cost_increase_vs_build_bn,gross_non_grid_cost_increase_per_eur_grid_withheld,delta_system_cost_eur_per_mwh_vs_build
grid-build-2040,Build,1.0000,2030,699.7167,30.6658,30.6658,30.6658,30.6658,10.3167,6.5756,16.8923,16.8923,47.5581,1201.0802,3350.2175,2875.5288,0.0000,113.3945,186.4140,3175.3373,3175.3367,0.0006,0.0065,0.0654,496.5176,9.6575,9.6575,5.3198,14.9773,9.6575,14.9773,9.1534,10.6644,61.7618,220.3599,669.0509,210.7024,652.1586,205.3825,252.9994,3965.5090,3344.6557,299.9762,320.8771,397.1282,275.8576,42.9679,78.3028,20.9283,16.3288,434.3853,109.5409,100.1456,5.2776,4.1177,84.4301,15.7155,20.9930,96.0000,13.5409,32.7659,344.8712,34.4871,88.0000,96.1734,1014.2573,101.4257,128.0000,72.3290,692.4809,69.2481,72.0000,0.0005,205.1609,288.0000,100.0000,100.0000,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000
grid-inaction-2040-mild85,85%,0.8500,2030,704.7028,26.0660,26.0660,26.0660,26.0660,10.0142,7.0936,17.1078,17.1078,43.1738,1056.1049,3110.0213,2875.5288,0.0000,107.1826,189.2017,3171.9132,3171.9125,0.0006,0.0063,0.0629,431.9255,8.2177,8.2177,5.3935,13.6113,8.2177,13.6113,8.3813,9.0648,60.3483,222.1697,678.6369,213.9519,661.5291,208.5584,259.3035,3824.2492,3322.4889,299.9762,201.7840,396.8964,275.6253,42.9677,78.3033,19.7909,10.4709,427.1581,111.6973,103.7841,5.1751,2.7380,87.4977,16.2864,21.4615,96.0000,15.6973,28.3816,298.7249,29.8725,88.0000,99.1913,1046.1749,104.6175,128.0000,69.2762,665.9112,66.5911,72.0000,0.0005,201.0811,288.0000,85.0919,90.8791,90.7811,99.8922,85.0001,4.9861,4.5998,-1.4398,1.4398,-1.3661,1.3661,1.0840,9.5859,2.0840,1.8098
grid-inaction-2040-mild75,75%,0.7500,2030,741.7758,23.0000,23.0000,23.0000,23.0000,9.7934,7.3482,17.1416,17.1416,40.1416,959.4728,2806.4643,2875.5288,0.0000,132.0744,179.7559,3187.3591,3187.2652,0.0939,0.3866,3.8658,384.8525,7.2162,7.2162,5.3782,12.5944,7.2160,12.5940,8.1954,7.9985,59.7632,232.7311,718.7758,225.5149,701.6341,220.1367,260.2125,3783.5334,3405.9716,299.9741,77.5877,404.7305,283.4644,42.9677,78.2984,18.1855,4.2267,427.1428,112.8952,106.9716,4.8065,1.1171,90.1849,16.7866,21.5931,96.0000,16.8952,25.3495,266.8107,26.6811,88.0000,124.2390,1300.2378,130.0238,128.0000,80.6409,779.3787,77.9379,72.0000,0.0005,234.6427,288.0000,74.7214,84.0896,84.4055,100.3757,75.0021,42.0590,7.6658,-2.4413,2.4413,-2.3830,2.3830,5.4866,49.7248,6.4866,12.3713
grid-inaction-2040-mild65,65%,0.6500,2030,887.6933,19.9330,19.9330,19.9330,19.9330,9.7699,5.7966,15.5665,15.5665,35.4995,862.8086,2622.0074,2875.5288,0.0000,83.0600,162.3333,3120.9221,3119.8500,1.0721,5.0690,50.6901,338.2272,6.3891,6.3891,4.9895,11.3786,6.3869,11.3747,7.6022,6.9319,58.9338,284.5308,867.7603,278.1417,852.1938,273.1522,265.9551,3722.5195,3396.3020,299.9722,26.2453,406.5887,285.3305,42.9670,78.2912,16.2952,1.5179,424.4018,114.0093,109.2241,4.3775,0.4078,92.0840,17.1401,21.5176,96.0000,18.0093,20.7074,217.9513,21.7951,88.0000,218.0393,2212.7345,221.2735,128.0000,82.7781,800.2227,80.0223,72.0000,0.0004,323.0909,288.0000,66.1568,75.9721,74.6446,98.2526,65.0007,187.9766,10.7328,-3.2684,3.2684,-3.5987,3.5987,17.5142,198.7094,18.5142,64.1709
grid-inaction-2040-moderate,50%,0.5000,2030,2480.2201,15.3330,15.3330,15.3330,15.3330,9.2961,5.5782,14.8744,14.8744,30.2074,717.8280,2227.7079,2875.5288,0.0000,16.7425,107.0390,2999.3103,2890.9299,108.3804,156.8480,1568.4797,272.4279,5.3038,5.3038,5.1452,10.4490,5.1122,10.0714,6.8829,5.3322,56.2828,857.9316,2464.8871,852.6278,2450.0128,847.4826,280.6498,3389.9363,3086.2886,299.9632,3.6845,406.5957,285.3380,42.9667,78.2910,8.5015,0.2091,415.3063,122.5115,119.9420,2.5079,0.0617,101.1200,18.8220,21.3299,96.0000,26.5115,15.4152,162.2494,16.2249,88.0000,270.8034,2707.6501,270.7650,128.0000,92.9141,893.5060,89.3506,72.0000,0.0004,376.3405,288.0000,54.9193,69.7655,63.5167,91.0433,50.0003,1780.5034,15.3328,-4.3537,4.3537,-4.5283,4.5283,116.1238,1795.8362,117.1238,637.5718
grid-build-2040,Build,1.0000,2040,663.2417,44.8502,14.1844,44.8502,14.1844,11.7011,12.6836,24.3848,24.3848,69.2350,1907.6096,4476.5141,3297.5119,0.0000,280.2599,503.9740,4081.7458,4081.7454,0.0004,0.0228,0.2275,737.3403,10.9880,10.9880,5.9741,16.9621,10.9880,16.9621,10.0190,13.6012,60.8271,162.4897,618.3915,151.5017,594.0067,145.5276,132.3755,5753.6108,5388.9854,299.9783,64.6472,489.1469,404.5477,47.6708,36.9284,17.0794,3.8763,510.1026,88.6578,85.0156,2.9685,0.6737,71.6745,13.3412,16.3096,96.0000,-7.3422,23.7770,250.2596,25.0260,88.0000,169.6712,1767.6982,176.7698,128.0000,168.4975,1606.1762,160.6176,72.0000,0.0006,362.4134,288.0000,100.0000,100.0000,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000
grid-inaction-2040-mild85,85%,0.8500,2040,671.8905,38.1220,12.0560,38.1220,12.0560,11.7071,13.1173,24.8244,24.8244,62.9464,1695.5513,4281.7628,3297.5119,0.0000,192.1249,498.5991,3988.2360,3988.2356,0.0003,0.0323,0.3227,649.1116,9.5586,9.5586,6.2244,15.7830,9.5586,15.7830,8.9033,11.5608,58.7295,168.4681,633.7685,158.9095,608.9441,152.6851,132.3852,5711.6323,5357.8707,299.9794,53.7822,484.6309,403.0176,47.5240,34.0893,17.9975,2.8242,505.4526,88.4953,84.8498,3.1510,0.4945,71.5347,13.3151,16.4662,96.0000,-7.5047,22.0882,232.4852,23.2485,88.0000,164.7261,1717.2424,171.7242,128.0000,180.2229,1714.1171,171.4117,72.0000,0.0006,366.3845,288.0000,86.9913,93.0486,90.9170,97.7091,84.9984,8.6488,6.7283,-1.4294,1.4294,-1.1791,1.1791,1.2854,15.3770,2.2854,5.9784
grid-inaction-2040-mild75,75%,0.7500,2040,680.4522,33.6380,10.6380,33.6380,10.6380,11.5162,12.6740,24.1902,24.1902,57.8282,1554.2273,4079.1664,3297.5119,0.0000,114.2403,486.7458,3898.4980,3898.4976,0.0004,0.0045,0.0452,584.2088,8.6285,8.6285,6.2050,14.8335,8.6285,14.8335,8.2463,10.2010,57.5787,174.5422,646.8142,165.9137,622.6240,159.7087,132.3856,5565.2229,5212.3854,299.9788,52.8587,476.0279,396.3682,46.2712,33.3885,19.2187,2.0911,497.3377,89.3653,85.5362,3.4534,0.3757,72.1133,13.4229,16.8762,96.0000,-6.6347,20.0360,210.8846,21.0885,88.0000,146.5709,1518.4434,151.8443,128.0000,191.3530,1816.6594,181.6659,72.0000,0.0006,354.5987,288.0000,78.5261,87.4505,83.5245,95.5106,75.0007,17.2105,11.2122,-2.3596,2.3596,-2.1287,2.1287,1.5350,28.4228,2.5350,12.0524
grid-inaction-2040-mild65,65%,0.6500,2040,708.0967,29.1530,9.2200,29.1530,9.2200,11.3242,10.4044,21.7287,21.7287,50.8817,1412.8711,3867.4882,3297.5119,0.0000,52.3447,470.9787,3820.8354,3820.8350,0.0004,0.0039,0.0386,516.7837,7.6300,7.6300,5.6869,13.3169,7.6300,13.3169,7.5380,8.8409,56.4124,185.3251,678.9437,177.6951,657.2150,172.0082,130.3553,5755.2607,5395.4857,299.9818,59.7933,480.1992,399.0817,45.9428,35.1747,23.4139,1.7316,505.3447,87.8057,83.4366,4.0683,0.3009,70.3432,13.0934,17.1616,96.0000,-8.1943,16.1564,170.0505,17.0051,88.0000,151.1169,1557.9628,155.7963,128.0000,211.3803,2015.9699,201.5970,72.0000,0.0006,374.3983,288.0000,69.4394,78.5097,73.4912,93.6079,65.0008,44.8550,15.6972,-3.3580,3.3580,-3.6452,3.6452,2.8575,60.5522,3.8575,22.8354
grid-inaction-2040-moderate,50%,0.5000,2040,1873.7530,22.4250,7.0920,22.4250,7.0920,10.8429,6.7471,17.5899,17.5899,40.0149,1200.8214,3489.1385,3297.5119,0.0000,2.2229,390.0308,3689.7657,3654.4055,35.3601,99.2501,992.5009,417.7216,6.1364,6.1364,4.8134,10.9498,6.0776,10.8448,6.4271,6.8006,53.6841,512.7381,1851.3280,506.6017,1833.7381,501.7883,125.5032,6462.0400,6115.0004,299.9829,47.0566,525.9576,432.1066,54.7298,39.1212,23.3377,1.1416,550.4368,85.1800,81.3919,3.6115,0.1767,68.6194,12.7725,16.3840,96.0000,-10.8200,9.8897,104.0925,10.4092,88.0000,220.8381,2277.5207,227.7521,128.0000,321.6153,3084.1930,308.4193,72.0000,0.0006,546.5806,288.0000,55.8466,64.5544,57.7958,89.5305,49.9997,1210.5113,22.4252,-4.8516,4.8516,-6.0123,6.0123,53.9799,1232.9365,54.9799,350.2484
