scenario,year,opening_rab_bn,capex_bn,depreciation_bn,new_rab_bn,mar_capex_bn,opex_bn,allowable_revenue_bn,twh_dso,tariff_direct_eur_per_mwh,tariff_scaled_from_2020_eur_per_mwh,mar_index_2020
Original Excel,2020,700.0000,29.0000,16.6667,712.3333,56.0327,56.0327,112.0653,2071.6522,54.0947,53.0089,1.0000
Original Excel,2021,712.3333,32.0000,16.9603,727.3730,57.1543,56.5930,113.7473,2162.2276,52.6065,51.5506,1.0150
Original Excel,2022,727.3730,35.0000,17.3184,745.0546,58.4865,57.1589,115.6455,2252.8030,51.3340,50.3037,1.0319
Original Excel,2023,745.0546,36.0000,17.7394,763.3152,59.9163,57.7305,117.6469,2343.3783,50.2040,49.1963,1.0498
Original Excel,2024,763.3152,40.0000,18.1742,785.1410,61.5532,58.3078,119.8610,2433.9537,49.2454,48.2570,1.0696
Original Excel,2025,785.1410,60.0000,18.6938,826.4472,64.3315,58.8909,123.2223,2524.5291,48.8100,47.8303,1.0996
Original Excel,2026,826.4472,72.0000,19.6773,878.7699,68.1935,59.4798,127.6733,2615.1045,48.8215,47.8416,1.1393
Original Excel,2027,878.7699,72.0000,20.9231,929.8468,72.2647,60.0746,132.3393,2705.6799,48.9117,47.9299,1.1809
Original Excel,2028,929.8468,72.0000,22.1392,979.7076,76.2389,60.6753,136.9143,2796.2553,48.9634,47.9807,1.2217
Original Excel,2029,979.7076,72.0000,23.3264,1028.3812,80.1186,61.2821,141.4007,2886.8307,48.9813,47.9982,1.2618
Original Excel,2030,1028.3812,72.0000,24.4853,1075.8960,83.9059,61.8949,145.8008,2977.4061,48.9691,47.9862,1.3010
Original Excel,2031,1075.8960,72.0000,24.4853,1123.4107,86.4716,62.5139,148.9855,3014.7057,49.4196,48.4277,1.3295
Original Excel,2032,1123.4107,72.0000,24.4853,1170.9254,89.0374,63.1390,152.1765,3052.0053,49.8611,48.8603,1.3579
Original Excel,2033,1170.9254,72.0000,24.4853,1218.4402,91.6032,63.7704,155.3736,3089.3049,50.2940,49.2846,1.3865
Original Excel,2034,1218.4402,72.0000,24.4853,1265.9549,94.1690,64.4081,158.5771,3126.6045,50.7186,49.7006,1.4150
Original Excel,2035,1265.9549,72.0000,24.4853,1313.4696,96.7348,65.0522,161.7870,3163.9042,51.1352,50.1089,1.4437
Original Excel,2036,1313.4696,72.0000,24.4853,1360.9844,99.3006,65.7027,165.0033,3201.2038,51.5442,50.5096,1.4724
Original Excel,2037,1360.9844,72.0000,24.4853,1408.4991,101.8664,66.3597,168.2262,3238.5034,51.9456,50.9030,1.5011
Original Excel,2038,1408.4991,72.0000,24.4853,1456.0138,104.4322,67.0233,171.4556,3275.8030,52.3400,51.2895,1.5300
Original Excel,2039,1456.0138,72.0000,24.4853,1503.5285,106.9980,67.6936,174.6916,3313.1026,52.7275,51.6692,1.5588
Original Excel,2040,1503.5285,72.0000,24.4853,1551.0433,109.5638,68.3705,177.9343,3350.4022,53.1083,52.0424,1.5878
Original Excel,2041,1551.0433,60.0000,24.4853,1586.5580,111.4816,69.0542,180.5358,3350.4022,53.8848,52.8033,1.6110
Original Excel,2042,1586.5580,60.0000,24.4853,1622.0727,113.3994,69.7447,183.1441,3350.4022,54.6633,53.5662,1.6343
Original Excel,2043,1622.0727,60.0000,24.4853,1657.5875,115.3172,70.4422,185.7594,3350.4022,55.4439,54.3311,1.6576
Original Excel,2044,1657.5875,60.0000,24.4853,1693.1022,117.2350,71.1466,188.3816,3350.4022,56.2266,55.0980,1.6810
Original Excel,2045,1693.1022,60.0000,24.4853,1728.6169,119.1528,71.8581,191.0109,3350.4022,57.0113,55.8670,1.7045
Original Excel,2046,1728.6169,60.0000,24.4853,1764.1317,121.0706,72.5767,193.6472,3350.4022,57.7982,56.6381,1.7280
Original Excel,2047,1764.1317,60.0000,24.4853,1799.6464,122.9884,73.3024,196.2908,3350.4022,58.5872,57.4113,1.7516
Original Excel,2048,1799.6464,60.0000,24.4853,1835.1611,124.9062,74.0355,198.9416,3350.4022,59.3784,58.1866,1.7752
Original Excel,2049,1835.1611,60.0000,24.4853,1870.6759,126.8240,74.7758,201.5998,3350.4022,60.1718,58.9641,1.7989
Original Excel,2050,1870.6759,60.0000,24.4853,1906.1906,128.7418,75.5236,204.2653,3350.4022,60.9674,59.7437,1.8227
Original Excel,2051,1906.1906,60.0000,24.4853,1941.7053,130.6596,76.2788,206.9384,,,,1.8466
Original Excel,2052,1941.7053,60.0000,24.4853,1977.2201,132.5774,77.0416,209.6189,,,,1.8705
Original Excel,2053,1977.2201,60.0000,24.4853,2012.7348,134.4952,77.8120,212.3072,,,,1.8945
Original Excel,2054,2012.7348,60.0000,24.4853,2048.2495,136.4129,78.5901,215.0031,,,,1.9186
Original Excel,2055,2048.2495,60.0000,24.4853,2083.7643,138.3307,79.3760,217.7068,,,,1.9427
Original Excel,2056,2083.7643,60.0000,24.4853,2119.2790,140.2485,80.1698,220.4183,,,,1.9669
Original Excel,2057,2119.2790,60.0000,24.4853,2154.7937,142.1663,80.9715,223.1378,,,,1.9911
Original Excel,2058,2154.7937,60.0000,24.4853,2190.3085,144.0841,81.7812,225.8653,,,,2.0155
Build,2020,700.0000,29.0000,16.6667,712.3333,56.0327,56.0327,112.0653,2071.6522,54.0947,53.0089,1.0000
Build,2021,712.3333,32.0000,16.9603,727.3730,57.1543,56.5930,113.7473,2172.7273,52.3523,51.3015,1.0150
Build,2022,727.3730,35.0000,17.3184,745.0546,58.4865,57.1589,115.6455,2273.8024,50.8599,49.8391,1.0319
Build,2023,745.0546,36.0000,17.7394,763.3152,59.9163,57.7305,117.6469,2374.8776,49.5381,48.5438,1.0498
Build,2024,763.3152,40.0000,18.1742,785.1410,61.5532,58.3078,119.8610,2475.9527,48.4101,47.4384,1.0696
Build,2025,785.1410,60.0000,18.6938,826.4472,64.3315,58.8909,123.2223,2577.0278,47.8157,46.8559,1.0996
Build,2026,826.4472,72.0000,19.6773,878.7699,68.1935,59.4798,127.6733,2678.1030,47.6730,46.7161,1.1393
Build,2027,878.7699,72.0000,20.9231,929.8468,72.2647,60.0746,132.3393,2779.1781,47.6181,46.6624,1.1809
Build,2028,929.8468,72.0000,22.1392,979.7076,76.2389,60.6753,136.9143,2880.2532,47.5355,46.5814,1.2217
Build,2029,979.7076,72.0000,23.3264,1028.3812,80.1186,61.2821,141.4007,2981.3283,47.4288,46.4768,1.2618
Build,2030,1028.3812,72.0000,24.4853,1075.8960,83.9059,61.8949,145.8008,3082.4035,47.3010,46.3516,1.3010
Build,2031,1075.8960,72.0000,24.4853,1123.4107,86.4716,62.5139,148.9855,3166.8835,47.0448,46.1006,1.3295
Build,2032,1123.4107,72.0000,24.4853,1170.9254,89.0374,63.1390,152.1765,3251.3635,46.8039,45.8645,1.3579
Build,2033,1170.9254,72.0000,24.4853,1218.4402,91.6032,63.7704,155.3736,3335.8435,46.5770,45.6421,1.3865
Build,2034,1218.4402,72.0000,24.4853,1265.9549,94.1690,64.4081,158.5771,3420.3236,46.3632,45.4326,1.4150
Build,2035,1265.9549,72.0000,24.4853,1313.4696,96.7348,65.0522,161.7870,3504.8036,46.1615,45.2350,1.4437
Build,2036,1313.4696,72.0000,24.4853,1360.9844,99.3006,65.7027,165.0033,3589.2836,45.9711,45.0484,1.4724
Build,2037,1360.9844,72.0000,24.4853,1408.4991,101.8664,66.3597,168.2262,3673.7636,45.7912,44.8721,1.5011
Build,2038,1408.4991,72.0000,24.4853,1456.0138,104.4322,67.0233,171.4556,3758.2437,45.6212,44.7055,1.5300
Build,2039,1456.0138,72.0000,24.4853,1503.5285,106.9980,67.6936,174.6916,3842.7237,45.4604,44.5479,1.5588
Build,2040,1503.5285,72.0000,24.4853,1551.0433,109.5638,68.3705,177.9343,3927.2037,45.3081,44.3987,1.5878
Build,2041,1551.0433,60.0000,24.4853,1586.5580,111.4816,69.0542,180.5358,3927.2037,45.9706,45.0479,1.6110
Build,2042,1586.5580,60.0000,24.4853,1622.0727,113.3994,69.7447,183.1441,3927.2037,46.6347,45.6987,1.6343
Build,2043,1622.0727,60.0000,24.4853,1657.5875,115.3172,70.4422,185.7594,3927.2037,47.3007,46.3513,1.6576
Build,2044,1657.5875,60.0000,24.4853,1693.1022,117.2350,71.1466,188.3816,3927.2037,47.9684,47.0056,1.6810
Build,2045,1693.1022,60.0000,24.4853,1728.6169,119.1528,71.8581,191.0109,3927.2037,48.6379,47.6616,1.7045
Build,2046,1728.6169,60.0000,24.4853,1764.1317,121.0706,72.5767,193.6472,3927.2037,49.3092,48.3195,1.7280
Build,2047,1764.1317,60.0000,24.4853,1799.6464,122.9884,73.3024,196.2908,3927.2037,49.9823,48.9791,1.7516
Build,2048,1799.6464,60.0000,24.4853,1835.1611,124.9062,74.0355,198.9416,3927.2037,50.6573,49.6405,1.7752
Build,2049,1835.1611,60.0000,24.4853,1870.6759,126.8240,74.7758,201.5998,3927.2037,51.3342,50.3038,1.7989
Build,2050,1870.6759,60.0000,24.4853,1906.1906,128.7418,75.5236,204.2653,3927.2037,52.0129,50.9689,1.8227
Build,2051,1906.1906,60.0000,24.4853,1941.7053,130.6596,76.2788,206.9384,,,,1.8466
Build,2052,1941.7053,60.0000,24.4853,1977.2201,132.5774,77.0416,209.6189,,,,1.8705
Build,2053,1977.2201,60.0000,24.4853,2012.7348,134.4952,77.8120,212.3072,,,,1.8945
Build,2054,2012.7348,60.0000,24.4853,2048.2495,136.4129,78.5901,215.0031,,,,1.9186
Build,2055,2048.2495,60.0000,24.4853,2083.7643,138.3307,79.3760,217.7068,,,,1.9427
Build,2056,2083.7643,60.0000,24.4853,2119.2790,140.2485,80.1698,220.4183,,,,1.9669
Build,2057,2119.2790,60.0000,24.4853,2154.7937,142.1663,80.9715,223.1378,,,,1.9911
Build,2058,2154.7937,60.0000,24.4853,2190.3085,144.0841,81.7812,225.8653,,,,2.0155
85%,2020,700.0000,29.0000,16.6667,712.3333,56.0327,56.0327,112.0653,2071.6522,54.0947,53.0089,1.0000
85%,2021,712.3333,32.0000,16.9603,727.3730,57.1543,56.5930,113.7473,2149.1449,52.9268,51.8644,1.0150
85%,2022,727.3730,35.0000,17.3184,745.0546,58.4865,57.1589,115.6455,2226.6377,51.9373,50.8948,1.0319
85%,2023,745.0546,36.0000,17.7394,763.3152,59.9163,57.7305,117.6469,2304.1305,51.0591,50.0343,1.0498
85%,2024,763.3152,40.0000,18.1742,785.1410,61.5532,58.3078,119.8610,2381.6233,50.3274,49.3173,1.0696
85%,2025,785.1410,60.0000,18.6938,826.4472,64.3315,58.8909,123.2223,2459.1161,50.1084,49.1026,1.0996
85%,2026,826.4472,61.2001,19.6773,867.9700,67.6103,59.4798,127.0901,2536.6088,50.1024,49.0967,1.1341
85%,2027,867.9700,61.2001,20.6660,908.5041,70.8411,60.0746,130.9157,2614.1016,50.0806,49.0754,1.1682
85%,2028,908.5041,61.2001,21.6311,948.0732,73.9951,60.6753,134.6704,2691.5944,50.0337,49.0294,1.2017
85%,2029,948.0732,61.2001,22.5732,986.7001,77.0739,61.2821,138.3560,2769.0872,49.9645,48.9616,1.2346
85%,2030,986.7001,61.2001,23.4929,1024.4073,80.0795,61.8949,141.9744,2846.5799,49.8754,48.8743,1.2669
85%,2031,1024.4073,61.1961,23.4929,1062.1106,82.1154,62.5139,144.6293,2935.4487,49.2699,48.2810,1.2906
85%,2032,1062.1106,61.1961,23.4929,1099.8138,84.1514,63.1390,147.2904,3024.3175,48.7020,47.7245,1.3143
85%,2033,1099.8138,61.1961,23.4929,1137.5170,86.1874,63.7704,149.9578,3113.1862,48.1686,47.2018,1.3381
85%,2034,1137.5170,61.1961,23.4929,1175.2203,88.2234,64.4081,152.6315,3202.0550,47.6667,46.7100,1.3620
85%,2035,1175.2203,61.1961,23.4929,1212.9235,90.2593,65.0522,155.3115,3290.9238,47.1939,46.2466,1.3859
85%,2036,1212.9235,61.1961,23.4929,1250.6267,92.2953,65.7027,157.9980,3379.7925,46.7478,45.8095,1.4099
85%,2037,1250.6267,61.1961,23.4929,1288.3299,94.3313,66.3597,160.6910,3468.6613,46.3265,45.3967,1.4339
85%,2038,1288.3299,61.1961,23.4929,1326.0332,96.3673,67.0233,163.3906,3557.5301,45.9281,45.0062,1.4580
85%,2039,1326.0332,61.1961,23.4929,1363.7364,98.4032,67.6936,166.0968,3646.3988,45.5509,44.6366,1.4821
85%,2040,1363.7364,61.1961,23.4929,1401.4396,100.4392,68.3705,168.8097,3735.2676,45.1935,44.2864,1.5064
85%,2041,1401.4396,60.0000,23.4929,1437.9468,102.4106,69.0542,171.4648,3735.2676,45.9043,44.9829,1.5300
85%,2042,1437.9468,60.0000,23.4929,1474.4539,104.3820,69.7447,174.1267,3735.2676,46.6169,45.6813,1.5538
85%,2043,1474.4539,60.0000,23.4929,1510.9611,106.3534,70.4422,176.7956,3735.2676,47.3314,46.3814,1.5776
85%,2044,1510.9611,60.0000,23.4929,1547.4682,108.3248,71.1466,179.4714,3735.2676,48.0478,47.0834,1.6015
85%,2045,1547.4682,60.0000,23.4929,1583.9753,110.2961,71.8581,182.1542,3735.2676,48.7660,47.7872,1.6254
85%,2046,1583.9753,60.0000,23.4929,1620.4825,112.2675,72.5767,184.8442,3735.2676,49.4862,48.4929,1.6494
85%,2047,1620.4825,60.0000,23.4929,1656.9896,114.2389,73.3024,187.5413,3735.2676,50.2083,49.2005,1.6735
85%,2048,1656.9896,60.0000,23.4929,1693.4968,116.2103,74.0355,190.2458,3735.2676,50.9323,49.9100,1.6976
85%,2049,1693.4968,60.0000,23.4929,1730.0039,118.1817,74.7758,192.9575,3735.2676,51.6583,50.6214,1.7218
85%,2050,1730.0039,60.0000,23.4929,1766.5110,120.1531,75.5236,195.6766,3735.2676,52.3862,51.3348,1.7461
85%,2051,1766.5110,60.0000,23.4929,1803.0182,122.1245,76.2788,198.4033,,,,1.7704
85%,2052,1803.0182,60.0000,23.4929,1839.5253,124.0958,77.0416,201.1374,,,,1.7948
85%,2053,1839.5253,60.0000,23.4929,1876.0325,126.0672,77.8120,203.8792,,,,1.8193
85%,2054,1876.0325,60.0000,23.4929,1912.5396,128.0386,78.5901,206.6287,,,,1.8438
85%,2055,1912.5396,60.0000,23.4929,1949.0467,130.0100,79.3760,209.3860,,,,1.8684
85%,2056,1949.0467,60.0000,23.4929,1985.5539,131.9814,80.1698,212.1512,,,,1.8931
85%,2057,1985.5539,60.0000,23.4929,2022.0610,133.9528,80.9715,214.9243,,,,1.9178
85%,2058,2022.0610,60.0000,23.4929,2058.5682,135.9242,81.7812,217.7054,,,,1.9427
75%,2020,700.0000,29.0000,16.6667,712.3333,56.0327,56.0327,112.0653,2071.6522,54.0947,53.0089,1.0000
75%,2021,712.3333,32.0000,16.9603,727.3730,57.1543,56.5930,113.7473,2118.6767,53.6879,52.6103,1.0150
75%,2022,727.3730,35.0000,17.3184,745.0546,58.4865,57.1589,115.6455,2165.7012,53.3986,52.3268,1.0319
75%,2023,745.0546,36.0000,17.7394,763.3152,59.9163,57.7305,117.6469,2212.7256,53.1683,52.1011,1.0498
75%,2024,763.3152,40.0000,18.1742,785.1410,61.5532,58.3078,119.8610,2259.7501,53.0417,51.9771,1.0696
75%,2025,785.1410,60.0000,18.6938,826.4472,64.3315,58.8909,123.2223,2306.7746,53.4176,52.3454,1.0996
75%,2026,826.4472,54.0015,19.6773,860.7714,67.2215,59.4798,126.7013,2353.7991,53.8284,52.7480,1.1306
75%,2027,860.7714,54.0015,20.4946,894.2783,69.8923,60.0746,129.9669,2400.8236,54.1343,53.0477,1.1597
