scenario,year,new_dso_investment_bn_eur_per_yr,dso_rab_bn_eur,allowable_dso_revenue_bn_eur_per_yr,distributed_electricity_twh,dso_tariff_eur_per_mwh,dso_tariff_scaled_excel_method_eur_per_mwh,original_excel_tariff_eur_per_mwh,old_pypsa_proxy_eur_per_mwh,old_pypsa_proxy_incl_hp_eur_per_mwh,overnight_capex_this_horizon_bn,new_dso_capacity_gw,pypsa_capex_ratio_vs_build,today_tariff_eur_per_mwh,tariff_change_vs_today53_eur_per_mwh,tariff_change_vs_today53_pct,tariff_change_vs_2025_eur_per_mwh,tariff_change_vs_2025_pct,tariff_vs_build_eur_per_mwh,tariff_vs_original_excel_eur_per_mwh,investment_vs_build_bn_eur_per_yr,distributed_twh_vs_build,rab_vs_build_bn
Original Excel,2030,72.0000,1075.8960,145.8008,2977.4061,48.9691,47.9862,47.9862,,,,,1.0000,53.0000,-4.0309,-7.6055,0.1590,0.3258,0.0000,0.0000,0.0000,0.0000,0.0000
Original Excel,2040,72.0000,1551.0433,177.9343,3350.4022,53.1083,52.0424,52.0424,,,,,1.0000,53.0000,0.1083,0.2044,4.2983,8.8062,0.0000,0.0000,0.0000,0.0000,0.0000
Build,2030,72.0000,1075.8960,145.8008,3082.4035,47.3010,46.3516,47.9862,9.6575,8.0571,322.7669,483.2552,1.0000,53.0000,-5.6990,-10.7528,-0.5147,-1.0764,0.0000,-1.6681,0.0000,0.0000,0.0000
Build,2040,72.0000,1551.0433,177.9343,3927.2037,45.3081,44.3987,52.0424,10.9880,9.0450,149.2955,223.5291,1.0000,53.0000,-7.6919,-14.5129,-2.5075,-5.2442,0.0000,-7.8002,0.0000,0.0000,0.0000
85%,2030,61.2001,1024.4073,141.9744,2846.5799,49.8754,48.8743,47.9862,8.2177,7.0962,274.3523,410.7676,0.8500,53.0000,-3.1246,-5.8954,-0.2330,-0.4649,2.5744,0.9064,-10.7999,-235.8235,-51.4886
85%,2040,61.1961,1401.4396,168.8097,3735.2676,45.1935,44.2864,52.0424,9.5586,7.8775,126.8930,189.9876,0.8499,53.0000,-7.8065,-14.7293,-4.9149,-9.8086,-0.1147,-7.9149,-10.8039,-191.9361,-149.6036
75%,2030,54.0015,990.0880,139.4239,2541.8971,54.8504,53.7494,47.9862,7.2162,6.3438,242.0819,362.4515,0.7500,53.0000,1.8504,3.4912,1.4328,2.6822,7.5493,5.8813,-17.9985,-540.5064,-85.8080
75%,2040,53.9983,1301.7577,162.7297,3536.5811,46.0133,45.0897,52.0424,8.6285,7.1837,111.9682,167.6417,0.7500,53.0000,-6.9867,-13.1825,-7.4043,-13.8612,0.7051,-7.0951,-18.0017,-390.6226,-249.2856
65%,2030,46.8005,955.7573,136.8727,2364.0228,57.8982,56.7361,47.9862,6.3891,5.6971,209.8009,314.1194,0.6500,53.0000,4.8982,9.2419,2.3385,4.2090,10.5972,8.9291,-25.1995,-718.3807,-120.1387
65%,2040,46.8006,1202.0663,156.6489,3331.3121,47.0232,46.0794,52.0424,7.6300,6.5285,97.0432,145.2957,0.6500,53.0000,-5.9768,-11.2770,-8.5365,-15.3645,1.7150,-6.0852,-25.1994,-595.8917,-348.9770
50%,2030,36.0002,904.2668,133.0461,2041.0810,65.1842,63.8758,47.9862,5.3038,4.8243,161.3845,241.6291,0.5000,53.0000,12.1842,22.9890,5.2618,8.7810,17.8831,16.2151,-35.9998,-1041.3225,-171.6292
50%,2040,35.9989,1052.4834,147.5254,2995.9775,49.2412,48.2528,52.0424,6.1364,5.4333,74.6455,111.7612,0.5000,53.0000,-3.7588,-7.0921,-10.6812,-17.8251,3.9330,-3.8672,-36.0011,-931.2262,-498.5598
