run,scenario,cap_fraction,year,costed_dso_links,new_dso_capacity_gw,installed_dso_stock_gw,overnight_investment_eur_per_mw,overnight_capex_eur,overnight_capex_bn_eur,annualised_new_capex_bn_eur_per_yr,dso_capital_cost_eur_per_mw_yr,dso_lifetime_years,dso_fom_percent,dso_discount_rate,dso_currency_year,dso_delivered_hv_to_lv_twh,lv_electric_load_twh,heat_pump_electricity_twh,resistive_heater_electricity_twh,bev_electricity_twh,electrified_lv_demand_twh,electrified_lv_demand_served_twh,lv_load_shedding_twh,solar_rooftop_twh,old_proxy_dso_tariff_eur_per_mwh,old_proxy_vs_incomplete_lv_demand_eur_per_mwh
grid-build-2040,Build,1.000000,2030,37,483.255225,483.255225,667901.600000,322766938264.314026,322.766938,30.665809,63456.755868,40.000000,2.000000,0.070000,2015,3082.403476,2875.528793,630.730932,113.394495,186.413999,3806.068219,3806.067658,0.000561,722.266304,8.057085,9.657498
grid-inaction-2040-mild85,85%,0.850000,2030,37,410.767569,410.767569,667901.600000,274352316376.905731,274.352316,26.065977,63456.755868,40.000000,2.000000,0.070000,2015,2846.579940,2875.528793,501.302388,107.182639,189.201722,3673.215542,3673.214937,0.000605,819.697513,7.096230,8.217748
grid-inaction-2040-mild75,75%,0.750000,2030,37,362.451510,362.451510,667901.600000,242081943461.611603,242.081943,22.999997,63456.755868,40.000000,2.000000,0.070000,2015,2541.897097,2875.528793,438.333196,132.074405,179.755940,3625.692334,3625.598441,0.093894,1092.180997,6.343779,7.216217
grid-inaction-2040-mild65,65%,0.650000,2030,37,314.119421,314.119421,667901.600000,209800863646.105072,209.800864,19.932999,63456.755868,40.000000,2.000000,0.070000,2015,2364.022826,2875.528793,378.941175,83.059970,162.333294,3499.863233,3498.791155,1.072078,1158.936557,5.697110,6.389089
grid-inaction-2040-moderate,50%,0.500000,2030,37,241.629117,241.629117,667901.600000,161384473564.797791,161.384474,15.333000,63456.755868,40.000000,2.000000,0.070000,2015,2041.080965,2875.528793,287.358707,16.742524,107.039006,3286.669031,3178.288606,108.380424,1160.874150,4.824294,5.303830
grid-build-2040,Build,1.000000,2040,74,223.529135,706.784360,667901.600000,149295466702.602203,149.295467,14.184434,63456.755868,40.000000,2.000000,0.070000,2015,3927.203710,3297.511924,876.794691,280.259904,503.973961,4958.540480,4958.540114,0.000366,1025.653002,9.045050,10.988006
grid-inaction-2040-mild85,85%,0.850000,2040,74,189.987625,600.755194,667901.600000,126893039034.817719,126.893039,12.055998,63456.755868,40.000000,2.000000,0.070000,2015,3735.267598,3297.511924,851.112438,192.124910,498.599144,4839.348416,4839.348078,0.000338,1101.428567,7.877502,9.558607
grid-inaction-2040-mild75,75%,0.750000,2040,74,167.641712,530.093222,667901.600000,111968167759.062424,111.968168,10.637999,63456.755868,40.000000,2.000000,0.070000,2015,3536.581133,3297.511924,784.044665,114.240300,486.745757,4682.542646,4682.542218,0.000428,1155.547209,7.183704,8.628451
grid-inaction-2040-mild65,65%,0.650000,2040,74,145.295717,459.415138,667901.600000,97043241758.294189,97.043242,9.219995,63456.755868,40.000000,2.000000,0.070000,2015,3331.312053,3297.511924,644.663826,52.344743,470.978718,4465.499211,4465.498849,0.000361,1160.600585,6.528497,7.630006
grid-inaction-2040-moderate,50%,0.500000,2040,74,111.761150,353.390266,667901.600000,74645450817.063614,74.645451,7.092000,63456.755868,40.000000,2.000000,0.070000,2015,2995.977486,3297.511924,472.926804,2.222895,390.030845,4162.692468,4127.332336,35.360133,1160.897953,5.433292,6.136429
