scenario,year,case,pypsa_enduse_twh,pypsa_dso_hv_lv_twh,peak_dso_gw,dso_stock_gw,dso_vs_build_pct,dso_new_vs_build_pct,tso_stock_vs_build_pct,tso_new_vs_build_pct,inv_bn,total_cost_bn,system_avg_ct_per_kwh,ig_eur_per_kwh,ic_eur_per_kwh,notes,case_label,peak_dso_vs_build_pct,enduse_vs_build_pct,closing_rab_bn,system_avg_eur_per_mwh,dso_peak_util_pct,lv_shed_twh
Excel A (NEP low),2030,original_excel,590.0000,,,,,,,,,,7.3400,0.0161,0.0954,Workbook NEP demand scenario; not a PyPSA grid-cap case,,,,,,,
Excel A (NEP low),2040,original_excel,900.0000,,,,,,,,,,6.9400,0.0153,0.0902,Workbook NEP demand scenario; not a PyPSA grid-cap case,,,,,,,
Excel B (NEP base),2030,original_excel,660.0000,,,,,,,,34.0000,,6.6600,0.0147,0.0866,Workbook NEP demand scenario; not a PyPSA grid-cap case,,,,,,,
Excel B (NEP base),2040,original_excel,1100.0000,,,,,,,,24.0000,,6.0400,0.0133,0.0785,Workbook NEP demand scenario; not a PyPSA grid-cap case,,,,,,,
Excel C (NEP high),2030,original_excel,740.0000,,,,,,,,,,6.0500,0.0133,0.0786,Workbook NEP demand scenario; not a PyPSA grid-cap case,,,,,,,
Excel C (NEP high),2040,original_excel,1260.0000,,,,,,,,,,5.5800,0.0123,0.0725,Workbook NEP demand scenario; not a PyPSA grid-cap case,,,,,,,
Build,2030,A_demand_scaled,650.3465,515.9321,75.1956,77.5213,100.0000,100.0000,100.0000,100.0000,34.0000,43.9718,6.7613,0.0149,0.0879,,Case A — Excel method: Inv × (end-use_s / end-use_Build),100.0000,100.0000,321.0269,67.6129,96.9999,0.0000
Build,2040,A_demand_scaled,949.7493,774.2869,134.0116,138.1563,100.0000,100.0000,100.0000,100.0000,24.0000,66.4379,6.9953,0.0154,0.0909,,Case A — Excel method: Inv × (end-use_s / end-use_Build),100.0000,100.0000,505.2100,69.9531,97.0000,0.0000
Build,2030,B_denominator_only,650.3465,515.9321,75.1956,77.5213,100.0000,100.0000,100.0000,100.0000,34.0000,43.9718,6.7613,0.0149,0.0879,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,100.0000,100.0000,321.0269,67.6129,96.9999,0.0000
Build,2040,B_denominator_only,949.7493,774.2869,134.0116,138.1563,100.0000,100.0000,100.0000,100.0000,24.0000,66.4379,6.9953,0.0154,0.0909,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,100.0000,100.0000,505.2100,69.9531,97.0000,0.0000
Build,2030,C_dso_capacity_all_inv,650.3465,515.9321,75.1956,77.5213,100.0000,100.0000,100.0000,100.0000,34.0000,43.9718,6.7613,0.0149,0.0879,,Case C — all Inv_base × (German DSO stock_s / stock_Build),100.0000,100.0000,321.0269,67.6129,96.9999,0.0000
Build,2040,C_dso_capacity_all_inv,949.7493,774.2869,134.0116,138.1563,100.0000,100.0000,100.0000,100.0000,24.0000,66.4379,6.9953,0.0154,0.0909,,Case C — all Inv_base × (German DSO stock_s / stock_Build),100.0000,100.0000,505.2100,69.9531,97.0000,0.0000
Build,2030,D_peak_flow_all_inv,650.3465,515.9321,75.1956,77.5213,100.0000,100.0000,100.0000,100.0000,34.0000,43.9718,6.7613,0.0149,0.0879,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),100.0000,100.0000,321.0269,67.6129,96.9999,0.0000
Build,2040,D_peak_flow_all_inv,949.7493,774.2869,134.0116,138.1563,100.0000,100.0000,100.0000,100.0000,24.0000,66.4379,6.9953,0.0154,0.0909,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),100.0000,100.0000,505.2100,69.9531,97.0000,0.0000
Build,2030,E_tso_dso_split,650.3465,515.9321,75.1956,77.5213,100.0000,100.0000,100.0000,100.0000,34.0000,43.9718,6.7613,0.0149,0.0879,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),100.0000,100.0000,321.0269,67.6129,96.9999,0.0000
Build,2040,E_tso_dso_split,949.7493,774.2869,134.0116,138.1563,100.0000,100.0000,100.0000,100.0000,24.0000,66.4379,6.9953,0.0154,0.0909,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),100.0000,100.0000,505.2100,69.9531,97.0000,0.0000
Build,2030,E_dso_only_tso_nep,650.3465,515.9321,75.1956,77.5213,100.0000,100.0000,100.0000,100.0000,34.0000,43.9718,6.7613,0.0149,0.0879,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),100.0000,100.0000,321.0269,67.6129,96.9999,0.0000
Build,2040,E_dso_only_tso_nep,949.7493,774.2869,134.0116,138.1563,100.0000,100.0000,100.0000,100.0000,24.0000,66.4379,6.9953,0.0154,0.0909,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),100.0000,100.0000,505.2100,69.9531,97.0000,0.0000
Build,2030,E_tso_new_volume,650.3465,515.9321,75.1956,77.5213,100.0000,100.0000,100.0000,100.0000,34.0000,43.9718,6.7613,0.0149,0.0879,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),100.0000,100.0000,321.0269,67.6129,96.9999,0.0000
Build,2040,E_tso_new_volume,949.7493,774.2869,134.0116,138.1563,100.0000,100.0000,100.0000,100.0000,24.0000,66.4379,6.9953,0.0154,0.0909,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),100.0000,100.0000,505.2100,69.9531,97.0000,0.0000
85%,2030,A_demand_scaled,642.2022,507.2347,70.9541,73.1486,94.3592,94.3592,95.6339,66.8071,33.5742,43.8636,6.8302,0.0150,0.0888,,Case A — Excel method: Inv × (end-use_s / end-use_Build),94.3593,98.7477,319.3654,68.3018,97.0000,0.0000
85%,2040,A_demand_scaled,916.7296,741.7607,112.1148,115.5823,83.6605,69.9823,99.4108,98.5181,23.1656,65.5857,7.1543,0.0157,0.0930,,Case A — Excel method: Inv × (end-use_s / end-use_Build),83.6605,96.5233,494.6506,71.5431,97.0000,0.0000
85%,2030,B_denominator_only,642.2022,507.2347,70.9541,73.1486,94.3592,94.3592,95.6339,66.8071,34.0000,43.9718,6.8470,0.0151,0.0890,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,94.3593,98.7477,321.0269,68.4704,97.0000,0.0000
85%,2040,B_denominator_only,916.7296,741.7607,112.1148,115.5823,83.6605,69.9823,99.4108,98.5181,24.0000,66.4379,7.2473,0.0159,0.0942,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,83.6605,96.5233,505.2100,72.4727,97.0000,0.0000
85%,2030,C_dso_capacity_all_inv,642.2022,507.2347,70.9541,73.1486,94.3592,94.3592,95.6339,66.8071,32.0821,43.4841,6.7711,0.0149,0.0880,,Case C — all Inv_base × (German DSO stock_s / stock_Build),94.3593,98.7477,313.5428,67.7109,97.0000,0.0000
85%,2040,C_dso_capacity_all_inv,916.7296,741.7607,112.1148,115.5823,83.6605,69.9823,99.4108,98.5181,20.0785,62.4538,6.8127,0.0150,0.0886,,Case C — all Inv_base × (German DSO stock_s / stock_Build),83.6605,96.5233,455.8233,68.1268,97.0000,0.0000
85%,2030,D_peak_flow_all_inv,642.2022,507.2347,70.9541,73.1486,94.3592,94.3592,95.6339,66.8071,32.0822,43.4841,6.7711,0.0149,0.0880,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),94.3593,98.7477,313.5429,67.7109,97.0000,0.0000
85%,2040,D_peak_flow_all_inv,916.7296,741.7607,112.1148,115.5823,83.6605,69.9823,99.4108,98.5181,20.0785,62.4538,6.8127,0.0150,0.0886,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),83.6605,96.5233,455.8234,68.1268,97.0000,0.0000
85%,2030,E_tso_dso_split,642.2022,507.2347,70.9541,73.1486,94.3592,94.3592,95.6339,66.8071,32.3331,43.5479,6.7810,0.0149,0.0882,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),94.3593,98.7477,314.5219,67.8102,97.0000,0.0000
85%,2040,E_tso_dso_split,916.7296,741.7607,112.1148,115.5823,83.6605,69.9823,99.4108,98.5181,22.2670,64.4706,7.0327,0.0155,0.0914,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),83.6605,96.5233,481.0265,70.3267,97.0000,0.0000
85%,2030,E_dso_only_tso_nep,642.2022,507.2347,70.9541,73.1486,94.3592,94.3592,95.6339,66.8071,33.1925,43.7665,6.8151,0.0150,0.0886,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),94.3593,98.7477,317.8757,68.1506,97.0000,0.0000
85%,2040,E_dso_only_tso_nep,916.7296,741.7607,112.1148,115.5823,83.6605,69.9823,99.4108,98.5181,22.3489,64.7604,7.0643,0.0155,0.0918,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),83.6605,96.5233,484.4156,70.6428,97.0000,0.0000
85%,2030,E_tso_new_volume,642.2022,507.2347,70.9541,73.1486,94.3592,94.3592,95.6339,66.8071,26.6587,42.1047,6.5563,0.0144,0.0852,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),94.3593,98.7477,292.3787,65.5631,97.0000,0.0000
85%,2040,E_tso_new_volume,916.7296,741.7607,112.1148,115.5823,83.6605,69.9823,99.4108,98.5181,22.1429,62.9290,6.8645,0.0151,0.0892,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),83.6605,96.5233,463.3101,68.6451,97.0000,0.0000
75%,2030,A_demand_scaled,654.6208,481.5881,68.4447,70.5615,91.0220,91.0220,95.5675,66.3030,34.2235,44.0287,6.7258,0.0148,0.0874,,Case A — Excel method: Inv × (end-use_s / end-use_Build),91.0221,100.6572,321.8989,67.2583,97.0000,0.0000
75%,2040,A_demand_scaled,890.1722,716.6445,101.0675,104.1933,75.4170,55.4661,96.0992,90.1899,22.4945,65.1504,7.3188,0.0161,0.0951,,Case A — Excel method: Inv × (end-use_s / end-use_Build),75.4170,93.7271,489.0117,73.1885,97.0000,0.0000
75%,2030,B_denominator_only,654.6208,481.5881,68.4447,70.5615,91.0220,91.0220,95.5675,66.3030,34.0000,43.9718,6.7171,0.0148,0.0873,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,91.0221,100.6572,321.0269,67.1715,97.0000,0.0000
75%,2040,B_denominator_only,890.1722,716.6445,101.0675,104.1933,75.4170,55.4661,96.0992,90.1899,24.0000,66.4379,7.4635,0.0164,0.0970,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,75.4170,93.7271,505.2100,74.6349,97.0000,0.0000
75%,2030,C_dso_capacity_all_inv,654.6208,481.5881,68.4447,70.5615,91.0220,91.0220,95.5675,66.3030,30.9475,43.1955,6.5986,0.0145,0.0858,,Case C — all Inv_base × (German DSO stock_s / stock_Build),91.0221,100.6572,309.1149,65.9855,97.0000,0.0000
75%,2040,C_dso_capacity_all_inv,890.1722,716.6445,101.0675,104.1933,75.4170,55.4661,96.0992,90.1899,18.1001,60.4017,6.7854,0.0149,0.0882,,Case C — all Inv_base × (German DSO stock_s / stock_Build),75.4170,93.7271,430.4261,67.8539,97.0000,0.0000
75%,2030,D_peak_flow_all_inv,654.6208,481.5881,68.4447,70.5615,91.0220,91.0220,95.5675,66.3030,30.9475,43.1955,6.5986,0.0145,0.0858,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),91.0221,100.6572,309.1151,65.9855,97.0000,0.0000
75%,2040,D_peak_flow_all_inv,890.1722,716.6445,101.0675,104.1933,75.4170,55.4661,96.0992,90.1899,18.1001,60.4017,6.7854,0.0149,0.0882,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),75.4170,93.7271,430.4262,67.8539,97.0000,0.0000
75%,2030,E_tso_dso_split,654.6208,481.5881,68.4447,70.5615,91.0220,91.0220,95.5675,66.3030,31.8423,43.4231,6.6333,0.0146,0.0862,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),91.0221,100.6572,312.6066,66.3332,97.0000,0.0000
75%,2040,E_tso_dso_split,890.1722,716.6445,101.0675,104.1933,75.4170,55.4661,96.0992,90.1899,20.9738,63.1925,7.0989,0.0156,0.0923,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),75.4170,93.7271,465.1481,70.9891,97.0000,0.0000
75%,2030,E_dso_only_tso_nep,654.6208,481.5881,68.4447,70.5615,91.0220,91.0220,95.5675,66.3030,32.7147,43.6450,6.6672,0.0147,0.0867,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),91.0221,100.6572,316.0114,66.6721,97.0000,0.0000
75%,2040,E_dso_only_tso_nep,890.1722,716.6445,101.0675,104.1933,75.4170,55.4661,96.0992,90.1899,21.5158,63.8963,7.1780,0.0158,0.0933,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),75.4170,93.7271,473.7221,71.7797,97.0000,0.0000
75%,2030,E_tso_new_volume,654.6208,481.5881,68.4447,70.5615,91.0220,91.0220,95.5675,66.3030,26.0818,41.9580,6.4095,0.0141,0.0833,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),91.0221,100.6572,290.1271,64.0951,97.0000,0.0000
75%,2040,E_tso_new_volume,890.1722,716.6445,101.0675,104.1933,75.4170,55.4661,96.0992,90.1899,20.1527,61.0069,6.8534,0.0151,0.0891,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),75.4170,93.7271,439.3861,68.5339,97.0000,0.0000
65%,2030,A_demand_scaled,626.3049,454.7869,60.0352,61.8919,79.8386,79.8386,90.8593,30.5094,32.7431,43.6522,6.9698,0.0153,0.0906,,Case A — Excel method: Inv × (end-use_s / end-use_Build),79.8387,96.3033,316.1221,69.6980,97.0000,0.0001
65%,2040,A_demand_scaled,835.6241,665.6040,87.5596,90.2676,65.3373,46.7976,90.1360,75.1930,21.1161,63.5466,7.6047,0.0167,0.0989,,Case A — Excel method: Inv × (end-use_s / end-use_Build),65.3373,87.9836,469.3319,76.0469,97.0000,0.0000
65%,2030,B_denominator_only,626.3049,454.7869,60.0352,61.8919,79.8386,79.8386,90.8593,30.5094,34.0000,43.9718,7.0208,0.0154,0.0913,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,79.8387,96.3033,321.0269,70.2084,97.0000,0.0001
65%,2040,B_denominator_only,835.6241,665.6040,87.5596,90.2676,65.3373,46.7976,90.1360,75.1930,24.0000,66.4379,7.9507,0.0175,0.1034,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,65.3373,87.9836,505.2100,79.5069,97.0000,0.0000
65%,2030,C_dso_capacity_all_inv,626.3049,454.7869,60.0352,61.8919,79.8386,79.8386,90.8593,30.5094,27.1451,42.2284,6.7425,0.0148,0.0877,,Case C — all Inv_base × (German DSO stock_s / stock_Build),79.8387,96.3033,294.2767,67.4247,97.0000,0.0001
65%,2040,C_dso_capacity_all_inv,835.6241,665.6040,87.5596,90.2676,65.3373,46.7976,90.1360,75.1930,15.6810,57.2834,6.8552,0.0151,0.0891,,Case C — all Inv_base × (German DSO stock_s / stock_Build),65.3373,87.9836,392.4224,68.5517,97.0000,0.0000
65%,2030,D_peak_flow_all_inv,626.3049,454.7869,60.0352,61.8919,79.8386,79.8386,90.8593,30.5094,27.1451,42.2284,6.7425,0.0148,0.0877,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),79.8387,96.3033,294.2768,67.4247,97.0000,0.0001
65%,2040,D_peak_flow_all_inv,835.6241,665.6040,87.5596,90.2676,65.3373,46.7976,90.1360,75.1930,15.6810,57.2834,6.8552,0.0151,0.0891,,Case D — all Inv_base × (German peak HV→LV_s / peak_Build),65.3373,87.9836,392.4225,68.5517,97.0000,0.0000
65%,2030,E_tso_dso_split,626.3049,454.7869,60.0352,61.8919,79.8386,79.8386,90.8593,30.5094,29.3145,42.7802,6.8306,0.0150,0.0888,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),79.8387,96.3033,302.7423,68.3057,97.0000,0.0001
65%,2040,E_tso_dso_split,835.6241,665.6040,87.5596,90.2676,65.3373,46.7976,90.1360,75.1930,19.1267,60.9062,7.2887,0.0160,0.0948,,Case E — VNB share × DSO peak; ÜNB share × TSO stock GW-km (recommended),65.3373,87.9836,437.2107,72.8871,97.0000,0.0000
65%,2030,E_dso_only_tso_nep,626.3049,454.7869,60.0352,61.8919,79.8386,79.8386,90.8593,30.5094,31.1137,43.2378,6.9036,0.0152,0.0897,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),79.8387,96.3033,309.7637,69.0363,97.0000,0.0001
65%,2040,E_dso_only_tso_nep,835.6241,665.6040,87.5596,90.2676,65.3373,46.7976,90.1360,75.1930,20.4972,62.5834,7.4894,0.0165,0.0974,,Sensitivity — VNB share × DSO peak; ÜNB share left at Excel B (NEP TSO continues),65.3373,87.9836,457.7205,74.8942,97.0000,0.0000
65%,2030,E_tso_new_volume,626.3049,454.7869,60.0352,61.8919,79.8386,79.8386,90.8593,30.5094,17.4351,39.7589,6.3482,0.0140,0.0825,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),79.8387,96.3033,256.3846,63.4817,97.0000,0.0001
65%,2040,E_tso_new_volume,835.6241,665.6040,87.5596,90.2676,65.3373,46.7976,90.1360,75.1930,17.0504,56.0572,6.7084,0.0148,0.0872,,Sensitivity — VNB × DSO peak; ÜNB × TSO *new* GW-km (not recommended),65.3373,87.9836,379.7989,67.0843,97.0000,0.0000
50%,2030,A_demand_scaled,581.7287,390.2007,44.9921,46.3836,59.8333,59.8333,87.7679,7.0073,30.4127,43.0595,7.4020,0.0163,0.0962,,Case A — Excel method: Inv × (end-use_s / end-use_Build),59.8334,89.4490,307.0279,74.0199,97.0000,19.6321
50%,2040,A_demand_scaled,787.2177,618.0896,70.5707,72.7533,52.6601,43.4892,78.4411,45.7814,19.8929,61.8671,7.8590,0.0173,0.1022,,Case A — Excel method: Inv × (end-use_s / end-use_Build),52.6601,82.8869,448.9420,78.5896,97.0000,0.0002
50%,2030,B_denominator_only,581.7287,390.2007,44.9921,46.3836,59.8333,59.8333,87.7679,7.0073,34.0000,43.9718,7.5588,0.0166,0.0983,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,59.8334,89.4490,321.0269,75.5882,97.0000,19.6321
50%,2040,B_denominator_only,787.2177,618.0896,70.5707,72.7533,52.6601,43.4892,78.4411,45.7814,24.0000,66.4379,8.4396,0.0186,0.1097,,Case B — Excel B investment unchanged; PyPSA end-use denominator only,52.6601,82.8869,505.2100,84.3958,97.0000,0.0002
50%,2030,C_dso_capacity_all_inv,581.7287,390.2007,44.9921,46.3836,59.8333,59.8333,87.7679,7.0073,20.3433,40.4985,6.9618,0.0153,0.0905,,Case C — all Inv_base × (German DSO stock_s / stock_Build),59.8334,89.4490,267.7337,69.6176,97.0000,19.6321
