region,scenario,year,rt_new_gw,rt_stock_gw,dso_new_gw,dso_stock_gw,hb_new_gwh,hbi_new_gw,rt_new_overnight_bn,hb_new_overnight_bn,local_new_overnight_bn,dso_new_overnight_bn,extra_rooftop_vs_build_bn,extra_homebatt_vs_build_bn,extra_local_vs_build_bn,dso_withheld_vs_build_bn,local_extra_minus_dso_withheld_bn,ratio_extra_local_to_dso_withheld,extra_local_ann_bn,dso_withheld_ann_bn,ann_local_extra_minus_dso_withheld_bn
EU,Build,2030,589.4357,589.4357,483.2552,483.2552,19.9131,55.8853,520.9514,22.4432,543.3946,322.7669,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
EU,85%,2030,669.3863,669.3863,410.7676,410.7676,150.9190,60.3843,591.6128,59.3557,650.9686,274.3523,70.6614,36.9125,107.5740,48.4146,59.1593,2.2219,7.8256,4.5998,3.2257
EU,75%,2030,921.8368,921.8368,362.4515,362.4515,799.4049,108.0177,814.7321,249.8087,1064.5408,242.0819,293.7807,227.3655,521.1462,80.6850,440.4612,6.4590,39.4877,7.6658,31.8219
EU,65%,2030,985.2387,985.2387,314.1194,314.1194,4492.5910,242.2607,870.7676,1292.6705,2163.4380,209.8009,349.8161,1270.2273,1620.0434,112.9661,1507.0773,14.3410,135.0586,10.7328,124.3258
EU,50%,2030,985.2388,985.2388,241.6291,241.6291,6415.6315,422.0256,870.7676,1869.1889,2739.9565,161.3845,349.8162,1846.7457,2196.5619,161.3825,2035.1794,13.6109,187.8157,15.3328,172.4829
EU,Build,2040,267.4785,856.9021,223.5291,706.7844,207.1307,132.3496,194.9991,63.2921,258.2912,149.2955,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
EU,85%,2040,262.9215,932.2993,189.9876,600.7552,161.2739,132.8160,191.6769,55.0336,246.7105,126.8930,-3.3222,-8.2585,-11.5807,22.4024,-33.9831,-0.5169,-0.8790,2.1284,-3.0074
EU,75%,2040,60.9205,982.7573,167.6417,530.0932,3.2975,154.4185,44.4127,30.4480,74.8607,111.9682,-150.5864,-32.8441,-183.4305,37.3273,-220.7578,-4.9141,-12.3102,3.5464,-15.8567
EU,65%,2040,0.0001,985.2388,145.2957,459.4151,0.1238,234.7062,0.0001,45.3891,45.3892,97.0432,-194.9990,-17.9030,-212.9020,52.2522,-265.1543,-4.0745,-12.9980,4.9644,-17.9625
EU,50%,2040,0.0000,985.2388,111.7611,353.3903,1305.5669,403.5125,0.0000,315.6864,315.6864,74.6455,-194.9991,252.3943,57.3952,74.6500,-17.2548,0.7689,10.9766,7.0924,3.8842
DE,Build,2030,125.0301,125.0301,77.5213,77.5213,0.0202,10.4781,110.5033,3.2005,113.7039,51.7766,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
DE,85%,2030,125.0432,125.0432,73.1486,73.1486,0.0528,10.4787,110.5149,3.2096,113.7245,48.8560,0.0116,0.0090,0.0206,2.9206,-2.9000,0.0071,0.0015,0.2775,-0.2759
DE,75%,2030,162.8823,162.8823,70.5615,70.5615,72.0107,10.4780,143.9576,22.7309,166.6885,47.1281,33.4542,19.5304,52.9846,4.6485,48.3361,11.3982,3.8423,0.4416,3.4007
DE,65%,2030,164.6852,164.6852,61.8919,61.8919,850.7681,31.1712,145.5511,240.3105,385.8616,41.3377,35.0477,237.1100,272.1577,10.4389,261.7188,26.0715,22.9944,0.9918,22.0026
DE,50%,2030,164.6852,164.6852,46.3836,46.3836,1386.6325,70.7569,145.5511,397.7563,543.3074,30.9797,35.0477,394.5558,429.6035,20.7970,408.8066,20.6570,37.2284,1.9759,35.2525
DE,Build,2040,39.6551,164.6852,60.6349,138.1563,0.0235,28.1173,28.9096,5.4391,34.3487,40.4982,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000
DE,85%,2040,39.6420,164.6852,42.4337,115.5823,0.0320,28.1174,28.9001,5.4407,34.3407,28.3415,-0.0096,0.0016,-0.0080,12.1566,-12.1646,-0.0007,-0.0005,1.1550,-1.1555
DE,75%,2040,1.8030,164.6852,33.6318,104.1933,0.0561,28.1174,1.3144,5.4450,6.7595,22.4628,-27.5952,0.0060,-27.5893,18.0354,-45.6247,-1.5297,-1.8229,1.7135,-3.5364
DE,65%,2040,0.0000,164.6852,28.3757,90.2676,0.0103,30.4496,0.0000,5.8875,5.8875,18.9522,-28.9096,0.4484,-28.4612,21.5460,-50.0072,-1.3210,-1.8438,2.0471,-3.8909
DE,50%,2040,0.0000,164.6852,26.3697,72.7533,329.6930,61.7454,0.0000,71.9586,71.9586,17.6123,-28.9096,66.5196,37.6099,22.8858,14.7241,1.6434,3.8871,2.1744,1.7127
