scenario,year,region,dso_new_gw,dso_stock_gw,rt_new_gw,rt_stock_gw,hb_new_gwh,hb_stock_gwh,hbi_new_gw,hbi_stock_gw,dso_new_overnight_bn,rt_new_overnight_bn,hb_new_overnight_bn,local_new_overnight_bn,dso_new_ann_bn,rt_new_ann_bn,hb_new_ann_bn,local_new_ann_bn,inv_dso,inv_rt,inv_hbs,inv_hbi
Build,2030,EU,483.2552,483.2552,589.4357,589.4357,19.9131,19.9131,55.8853,55.8853,322.7669,520.9514,22.4432,543.3946,30.6658,33.7355,2.9473,36.6828,667901.6000,883813.8000,271290.8000,304927.1000
Build,2030,DE,77.5213,77.5213,125.0301,125.0301,0.0202,0.0202,10.4781,10.4781,51.7766,110.5033,3.2005,113.7039,4.9193,7.1559,0.4662,7.6221,667901.6000,883813.8000,271290.8000,304927.1000
Build,2040,EU,223.5291,706.7844,267.4785,856.9021,207.1307,226.9162,132.3496,132.3496,149.2955,194.9991,63.2921,258.2912,14.1844,12.8847,6.8194,19.7040,667901.6000,729027.2000,182059.7000,193290.9000
Build,2040,DE,60.6349,138.1563,39.6551,164.6852,0.0235,0.0235,28.1173,28.1173,40.4982,28.9096,5.4391,34.3487,3.8477,1.9102,0.8035,2.7137,667901.6000,729027.2000,182059.7000,193290.9000
85%,2030,EU,410.7676,410.7676,669.3863,669.3863,150.9190,150.9190,60.3843,60.3843,274.3523,591.6128,59.3557,650.9686,26.0660,38.3114,6.1970,44.5084,667901.6000,883813.8000,271290.8000,304927.1000
85%,2030,DE,73.1486,73.1486,125.0432,125.0432,0.0528,0.0528,10.4787,10.4787,48.8560,110.5149,3.2096,113.7245,4.6418,7.1567,0.4669,7.6236,667901.6000,883813.8000,271290.8000,304927.1000
85%,2040,EU,189.9876,600.7552,262.9215,932.2993,161.2739,312.1073,132.8160,132.8160,126.8930,191.6769,55.0336,246.7105,12.0560,12.6651,6.1599,18.8250,667901.6000,729027.2000,182059.7000,193290.9000
85%,2040,DE,42.4337,115.5823,39.6420,164.6852,0.0320,0.0759,28.1174,28.1174,28.3415,28.9001,5.4407,34.3407,2.6927,1.9096,0.8036,2.7132,667901.6000,729027.2000,182059.7000,193290.9000
75%,2030,EU,362.4515,362.4515,921.8368,921.8368,799.4049,799.4049,108.0177,108.0177,242.0819,814.7321,249.8087,1064.5408,23.0000,52.7600,23.4106,76.1706,667901.6000,883813.8000,271290.8000,304927.1000
75%,2030,DE,70.5615,70.5615,162.8823,162.8823,72.0107,72.0107,10.4780,10.4780,47.1281,143.9576,22.7309,166.6885,4.4776,9.3223,2.1421,11.4644,667901.6000,883813.8000,271290.8000,304927.1000
75%,2040,EU,167.6417,530.0932,60.9205,982.7573,3.2975,802.6930,154.4185,154.4185,111.9682,44.4127,30.4480,74.8607,10.6380,2.9346,4.4592,7.3938,667901.6000,729027.2000,182059.7000,193290.9000
75%,2040,DE,33.6318,104.1933,1.8030,164.6852,0.0561,72.0668,28.1174,28.1174,22.4628,1.3144,5.4450,6.7595,2.1342,0.0868,0.8040,0.8908,667901.6000,729027.2000,182059.7000,193290.9000
65%,2030,EU,314.1194,314.1194,985.2387,985.2387,4492.5910,4492.5910,242.2607,242.2607,209.8009,870.7676,1292.6705,2163.4380,19.9330,56.3887,115.3527,171.7415,667901.6000,883813.8000,271290.8000,304927.1000
65%,2030,DE,61.8919,61.8919,164.6852,164.6852,850.7681,850.7681,31.1712,31.1712,41.3377,145.5511,240.3105,385.8616,3.9275,9.4255,21.1909,30.6164,667901.6000,883813.8000,271290.8000,304927.1000
65%,2040,EU,145.2957,459.4151,0.0001,985.2388,0.1238,4492.7148,234.7062,234.7062,97.0432,0.0001,45.3891,45.3892,9.2200,0.0000,6.7060,6.7060,667901.6000,729027.2000,182059.7000,193290.9000
65%,2040,DE,28.3757,90.2676,0.0000,164.6852,0.0103,850.7784,30.4496,30.4496,18.9522,0.0000,5.8875,5.8875,1.8006,0.0000,0.8699,0.8699,667901.6000,729027.2000,182059.7000,193290.9000
50%,2030,EU,241.6291,241.6291,985.2388,985.2388,6415.6315,6415.6315,422.0256,422.0256,161.3845,870.7676,1869.1889,2739.9565,15.3330,56.3887,168.1098,224.4985,667901.6000,883813.8000,271290.8000,304927.1000
50%,2030,DE,46.3836,46.3836,164.6852,164.6852,1386.6325,1386.6325,70.7569,70.7569,30.9797,145.5511,397.7563,543.3074,2.9434,9.4255,35.4250,44.8505,667901.6000,883813.8000,271290.8000,304927.1000
50%,2040,EU,111.7611,353.3903,0.0000,985.2388,1305.5669,7721.1984,403.5125,403.5125,74.6455,0.0000,315.6864,315.6864,7.0920,0.0000,30.6806,30.6806,667901.6000,729027.2000,182059.7000,193290.9000
50%,2040,DE,26.3697,72.7533,0.0000,164.6852,329.6930,1716.3255,61.7454,61.7454,17.6123,0.0000,71.9586,71.9586,1.6733,0.0000,6.6008,6.6008,667901.6000,729027.2000,182059.7000,193290.9000
