run,scenario,cap_fraction_label,year,de_ac_nodes,conv_lv_twh,industry_twh,agriculture_twh,datacentre_twh,heat_pump_twh,resistive_heater_twh,bev_twh,electrolysis_twh,enduse_twh,served_enduse_twh,gross_incl_ptx_twh,rooftop_twh,rooftop_gw,rooftop_pmax_gw,lv_shed_twh,ev_shed_twh,peak_enduse_gw,peak_enduse_when,dso_stock_gw,dso_new_gw,dso_hv_lv_twh,peak_dso_gw,peak_dso_when,dso_peak_util_pct,dso_headroom_gw,dso_new_ann_bn_context_only,dso_stock_ann_bn_context_only,eu_dso_new_ann_bn,eu_dso_stock_gw,eu_budget_bn,eu_budget_slack_bn,eu_budget_binding,de_share_of_eu_dso_stock,ac_internal_stock_gw,ac_internal_new_gw,ac_xborder_stock_gw,ac_xborder_new_gw,ac_vol_stock_gwkm,ac_vol_new_gwkm,dc_internal_stock_gw,dc_internal_new_gw,dc_xborder_stock_gw,dc_xborder_new_gw,dc_vol_stock_gwkm,dc_vol_new_gwkm,tso_vol_stock_gwkm,tso_vol_new_gwkm,tso_ann_bn_context_only,tso_new_ann_bn_context_only,lv_limit_mu,dso_budget_dual
grid-build-2040,Build,1.000000,2030,3,272.355323,214.123299,6.217611,25.963611,58.096410,28.778195,44.812100,0.003713,650.346549,650.346515,650.350262,133.209588,125.030120,164.685216,0.000034,0.000048,133.307884,2019-04-16 08:00:00,77.521350,77.521350,515.932105,75.195626,2019-01-08 14:00:00,96.999893,2.325724,4.919253,4.919253,30.665809,483.255225,,,,0.160415,56.287030,8.203909,100.834587,16.018816,35475.633991,4741.048924,0.077661,0.077661,7.641332,0.441332,1266.485517,91.961750,36742.119509,4833.010673,2.818352,0.345975,-0.002414,not stored in solved .nc
grid-inaction-2040-mild85,85%,0.850000,2030,3,272.355323,214.123299,6.217611,25.963611,52.562144,25.476240,45.503932,0.003854,642.202160,642.202119,642.206014,133.098540,125.043219,164.685216,0.000041,0.000052,131.266891,2019-04-16 08:00:00,73.148555,73.148555,507.234729,70.954084,2019-01-08 14:00:00,96.999981,2.194471,4.641770,4.641770,26.065977,410.767569,26.066000,0.000023,True,0.178078,54.146204,6.063083,88.634714,3.818943,33511.630525,2777.045457,0.052780,0.052780,9.997978,2.797978,1626.273201,451.749433,35137.903725,3228.794890,2.793588,0.321211,-0.003302,not stored in solved .nc
grid-inaction-2040-mild75,75%,0.750000,2030,3,272.355323,214.123299,6.217611,25.963611,54.462233,36.792324,44.706412,0.005242,654.620813,654.620764,654.626055,172.287904,162.882251,164.685216,0.000050,0.045434,143.532531,2019-02-27 09:00:00,70.561509,70.561509,481.588064,68.444656,2019-01-08 14:00:00,96.999988,2.116854,4.477604,4.477604,22.999997,362.451510,23.000000,0.000003,True,0.194678,51.472751,3.389630,86.727944,1.912173,32274.988009,1540.402942,0.042964,0.042964,18.746072,11.546072,2838.550832,1664.027064,35113.538841,3204.430006,3.074776,0.602399,-0.002569,not stored in solved .nc
grid-inaction-2040-mild65,65%,0.650000,2030,3,272.355323,214.123299,6.217611,25.963611,50.807458,15.417421,41.420214,0.007272,626.304938,626.304863,626.312210,174.221525,164.685215,164.685216,0.000075,0.807191,123.441868,2019-02-27 09:00:00,61.891938,61.891938,454.786880,60.035179,2019-01-12 22:00:00,96.999999,1.856759,3.927462,3.927462,19.932999,314.119421,19.933000,0.000001,True,0.197033,49.224843,1.141722,89.327616,4.511845,32203.150473,1468.565405,0.021729,0.021729,7.207544,0.007544,1180.482170,5.958402,33383.632643,1474.523807,2.572925,0.100547,-0.005515,not stored in solved .nc
grid-inaction-2040-moderate,50%,0.500000,2030,3,272.355323,214.123299,6.217611,25.963611,40.921600,0.002825,22.144459,0.019796,581.728728,562.096617,581.748524,174.401242,164.685216,164.685216,19.632111,16.586617,102.583662,2019-04-09 08:00:00,46.383600,46.383600,390.200722,44.992092,2019-12-22 20:00:00,96.999999,1.391508,2.943353,2.943353,15.333000,241.629117,15.333000,0.000000,True,0.191962,48.086540,0.003419,86.428030,1.612259,31070.815920,336.230853,0.009418,0.009418,7.202340,0.002340,1176.954556,2.430788,32247.770476,338.661641,2.495613,0.023235,-0.002521,not stored in solved .nc
grid-build-2040,Build,1.000000,2040,3,272.355323,271.436883,6.217611,57.399552,127.892322,93.361573,121.086071,64.410375,949.749336,949.749313,1014.159712,174.121904,164.685206,204.340311,0.000024,0.000024,241.267595,2019-04-15 08:00:00,138.156276,60.634926,774.286911,134.011576,2019-01-23 08:00:00,96.999992,4.144700,3.847696,8.766949,14.184434,706.784360,,,,0.195472,65.540481,17.457360,115.760933,30.945162,41767.097979,11032.512912,39.145702,39.145702,22.896710,15.696710,11205.456189,10030.932422,52972.554169,21063.445333,5.475979,3.003519,-0.001481,not stored in solved .nc
grid-inaction-2040-mild85,85%,0.850000,2040,3,272.355323,271.436883,6.217611,57.399552,125.710331,63.589759,120.020117,78.472224,916.729577,916.729557,995.201800,174.217101,164.685197,204.327212,0.000020,0.000021,217.185850,2019-04-15 08:00:00,115.582271,42.433717,741.760741,112.114799,2019-01-23 08:00:00,96.999997,3.467472,2.692706,7.334476,12.055998,600.755194,12.056000,0.000002,True,0.192395,65.443802,17.360681,111.848275,27.032504,41762.520772,11027.935705,36.832042,36.832042,24.174572,16.974572,10897.897352,9723.373584,52660.418124,20751.309288,5.408238,2.935800,-0.015216,not stored in solved .nc
grid-inaction-2040-mild75,75%,0.750000,2040,3,272.355323,271.436883,6.217611,57.399552,124.483187,39.570125,118.709557,74.664198,890.172239,890.172211,964.836437,174.322290,164.685207,166.488180,0.000028,0.000031,202.607311,2019-04-15 08:00:00,104.193336,33.631827,716.644488,101.067534,2019-01-23 08:00:00,96.999997,3.125803,2.134167,6.611771,10.637999,530.093222,10.638000,0.000001,True,0.196557,64.944023,16.860902,106.000776,21.185005,40669.364341,9934.779273,32.415146,32.415146,25.757330,18.557330,10236.834900,9062.311132,50906.199241,18997.090405,5.211970,2.739461,-0.002481,not stored in solved .nc
grid-inaction-2040-mild65,65%,0.650000,2040,3,272.355323,271.436883,6.217611,57.399552,99.200908,13.104778,115.909010,171.403722,835.624065,835.624039,1007.027786,174.380393,164.685216,164.685216,0.000026,0.000027,170.343664,2019-04-15 08:00:00,90.267604,28.375667,665.604003,87.559574,2019-01-25 08:00:00,96.999997,2.708030,1.800628,5.728089,9.219995,459.415138,9.220000,0.000005,True,0.196484,64.722784,16.639663,108.016579,23.200808,40612.714343,9878.129275,19.540442,19.540442,21.175454,13.975454,7134.624098,5960.100330,47747.338441,15838.229606,4.543218,2.070746,-0.001302,not stored in solved .nc
grid-inaction-2040-moderate,50%,0.500000,2040,3,272.355323,271.436883,6.217611,57.399552,80.570626,0.000108,99.237568,270.279229,787.217672,787.217424,1057.496901,174.403981,164.685216,164.685216,0.000249,13.288012,154.305488,2019-04-24 08:00:00,72.753262,26.369662,618.089645,70.570664,2019-11-23 20:00:00,97.000000,2.182598,1.673333,4.616686,7.092000,353.390266,7.092000,-0.000000,True,0.205872,65.101265,17.018145,105.740693,20.924922,39553.719509,8819.134441,3.877513,3.877513,9.554060,2.354060,1998.521318,823.997550,41552.240827,9643.131992,3.273124,0.800684,-0.001118,not stored in solved .nc
