scenario,year,system_cost_bn_eur_per_yr,system_cost_eur_per_mwh,delta_system_cost_vs_build_bn,dso_investment_vs_build_bn,dso_annualised_cost_vs_build_bn,tso_investment_vs_build_bn,tso_annualised_cost_vs_build_bn,eu_dso_investment_vs_build_bn,eu_tso_investment_vs_build_bn,de_enduse_twh,de_dso_throughput_twh,de_peak_dso_gw,de_dso_capacity_gw,de_hp_twh,de_resistive_heating_twh,de_bev_twh,de_industrial_electricity_twh,de_rooftop_generation_twh,de_lv_load_shedding_twh,de_ev_shedding_twh,de_shedding_hours,eu_load_shedding_twh,co2_emissions_mt,de_vre_curtailment_twh,eu_vre_curtailment_twh,elec_generation_twh,de_dso_peak_util_pct,de_dso_new_gw,de_dso_new_overnight_bn
Build,2030,699.7167,172.6165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,650.3465,515.9321,75.1956,77.5213,58.0964,28.7782,44.8121,214.1233,133.2096,0.0000,0.0000,0.0000,0.0065,1649.5947,4.9514,51.8140,4053.5901,96.9999,77.5213,51.7766
85%,2030,704.7028,179.9242,4.9861,-2.9206,-0.2775,-0.0248,-0.0248,-4.5998,0.2155,642.2022,507.2347,70.9541,73.1486,52.5621,25.4762,45.5039,214.1233,133.0985,0.0000,0.0001,0.0000,0.0063,1691.6358,5.2800,60.0803,3916.6645,97.0000,73.1486,48.8560
75%,2030,741.7758,191.9188,42.0590,-4.6485,-0.4416,0.2564,0.2564,-7.6658,0.2493,654.6208,481.5881,68.4447,70.5615,54.4622,36.7923,44.7064,214.1233,172.2879,0.0001,0.0454,0.0000,0.3866,1697.4563,7.1110,90.1930,3865.0507,97.0000,70.5615,47.1281
65%,2030,887.6933,235.8576,187.9766,-10.4389,-0.9918,-0.2454,-0.2454,-10.7328,-1.3257,626.3049,454.7869,60.0352,61.8919,50.8075,15.4174,41.4202,214.1233,174.2215,0.0001,0.8072,0.0000,5.0690,1736.6079,7.1305,74.1815,3763.6838,97.0000,61.8919,41.3377
50%,2030,2480.2201,726.9695,1780.5034,-20.7970,-1.9759,-0.3227,-0.3227,-15.3328,-2.0179,581.7287,390.2007,44.9921,46.3836,40.9216,0.0028,22.1445,214.1233,174.4012,19.6321,16.5866,3803.0000,156.8480,1838.7326,11.9222,113.4300,3411.7252,97.0000,46.3836,30.9797
Build,2040,663.2417,113.2186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,949.7493,774.2869,134.0116,138.1563,127.8923,93.3616,121.0861,271.4369,174.1219,0.0000,0.0000,0.0000,0.0228,679.0233,24.9228,112.4234,5858.0614,97.0000,60.6349,40.4982
85%,2040,671.8905,115.5024,8.6488,-12.1566,-1.4325,-0.0677,-0.0677,-2.1284,0.4397,916.7296,741.7607,112.1148,115.5823,125.7103,63.5898,120.0201,271.4369,174.2171,0.0000,0.0000,0.0000,0.0323,679.1585,32.3468,122.2739,5817.1143,97.0000,42.4337,28.3415
75%,2040,680.4522,120.2066,17.2105,-18.0354,-2.1552,-0.2641,-0.2640,-3.5464,-0.1946,890.1722,716.6445,101.0675,104.1933,124.4832,39.5701,118.7096,271.4369,174.3223,0.0000,0.0000,0.0000,0.0045,679.1281,30.0421,103.7769,5660.6906,97.0000,33.6318,22.4628
65%,2040,708.0967,121.3835,44.8550,-21.5460,-3.0389,-0.9328,-0.9328,-4.9644,-2.6562,835.6241,665.6040,87.5596,90.2676,99.2009,13.1048,115.9090,271.4369,174.3804,0.0000,0.0000,0.0000,0.0039,679.2573,28.9044,82.0211,5833.5480,97.0000,28.3757,18.9522
50%,2040,1873.7530,286.0634,1210.5113,-22.8858,-4.1503,-2.2028,-2.2029,-7.0924,-6.7948,787.2177,618.0896,70.5707,72.7533,80.5706,0.0001,99.2376,271.4369,174.4040,0.0002,13.2880,0.0000,99.2501,679.0384,48.2914,143.5377,6550.1313,97.0000,26.3697,17.6123
