scenario,year,category,expanded_capex_bn_eur_per_yr,opex_bn_eur_per_yr,cost_in_objective_bn_eur_per_yr,delta_vs_build_bn_eur_per_yr,share_of_delta_vs_build_pct
Build,2030,DSO,30.6658,0.0339,30.6997,0.0000,0.0000
Build,2030,TSO_AC,1.1005,0.0000,1.1005,0.0000,0.0000
Build,2030,TSO_DC,0.9996,0.0020,1.0016,0.0000,0.0000
Build,2030,biomass,3.9257,7.6062,11.5319,0.0000,0.0000
Build,2030,boilers,2.3584,0.0178,2.3763,0.0000,0.0000
Build,2030,carbon_price,0.0000,165.1541,165.1541,0.0000,0.0000
Build,2030,ccs,4.3832,0.0068,4.3900,0.0000,0.0000
Build,2030,firm_power,0.0000,18.3575,18.3575,0.0000,0.0000
Build,2030,fossil_and_unsustainable_fuel,0.0000,110.6221,110.6221,0.0000,0.0000
Build,2030,fuel_stores,2.3238,3.1968,5.5206,0.0000,0.0000
Build,2030,gas_power,0.0120,1.5621,1.5741,0.0000,0.0000
Build,2030,gas_storage,31.1213,0.0000,31.1213,0.0000,0.0000
Build,2030,grid_battery,7.2827,0.0009,7.2836,0.0000,0.0000
Build,2030,heat_pumps,26.4233,-0.0172,26.4061,0.0000,0.0000
Build,2030,heat_storage,0.3699,0.0056,0.3754,0.0000,0.0000
Build,2030,home_battery,2.9473,0.0002,2.9476,0.0000,0.0000
Build,2030,hydrogen,0.0724,6.1001,6.1725,0.0000,0.0000
Build,2030,load_shedding,0.0000,0.0654,0.0654,0.0000,0.0000
Build,2030,oil,0.0000,185.5632,185.5632,0.0000,0.0000
Build,2030,other,0.0733,0.1116,0.1849,0.0000,0.0000
Build,2030,solar_rooftop,33.7355,0.0144,33.7499,0.0000,0.0000
Build,2030,solar_thermal,0.0052,0.0000,0.0052,0.0000,0.0000
Build,2030,synthetic_fuels,1.2930,0.0011,1.2941,0.0000,0.0000
Build,2030,utility_vre,52.1758,0.0434,52.2192,0.0000,0.0000
Build,2030,residual_vs_objective,0.0000,-0.0000,-0.0000,0.0000,0.0000
85%,2030,fossil_and_unsustainable_fuel,0.0000,116.7532,116.7532,6.1312,122.9650
85%,2030,solar_rooftop,38.3114,0.0163,38.3276,4.5778,91.8107
85%,2030,carbon_price,0.0000,169.3895,169.3895,4.2354,84.9431
85%,2030,home_battery,6.1970,0.0011,6.1981,3.2506,65.1928
85%,2030,boilers,4.2108,0.0219,4.2327,1.8564,37.2322
85%,2030,TSO_DC,1.5176,0.0023,1.5199,0.5183,10.3942
85%,2030,oil,0.0000,185.7888,185.7888,0.2256,4.5255
85%,2030,other,0.0894,0.1118,0.2012,0.0162,0.3259
85%,2030,hydrogen,0.0768,6.1004,6.1772,0.0047,0.0940
85%,2030,gas_storage,31.1234,0.0000,31.1234,0.0021,0.0423
85%,2030,solar_thermal,0.0059,0.0000,0.0059,0.0007,0.0134
85%,2030,ccs,4.3838,0.0068,4.3906,0.0006,0.0117
85%,2030,residual_vs_objective,0.0000,-0.0000,-0.0000,0.0000,0.0000
85%,2030,grid_battery,7.2825,0.0009,7.2834,-0.0002,-0.0032
85%,2030,load_shedding,0.0000,0.0629,0.0629,-0.0025,-0.0506
85%,2030,synthetic_fuels,1.2724,0.0011,1.2735,-0.0206,-0.4128
85%,2030,heat_storage,0.3464,0.0053,0.3517,-0.0237,-0.4761
85%,2030,biomass,3.9250,7.5487,11.4737,-0.0582,-1.1676
85%,2030,fuel_stores,2.1643,3.1370,5.3013,-0.2192,-4.3967
85%,2030,TSO_AC,0.7980,0.0000,0.7980,-0.3025,-6.0674
85%,2030,firm_power,0.0000,17.9322,17.9322,-0.4252,-8.5279
85%,2030,gas_power,0.0128,0.9150,0.9279,-0.6462,-12.9602
85%,2030,DSO,26.0660,0.0315,26.0974,-4.6022,-92.3014
85%,2030,heat_pumps,21.6983,-0.0142,21.6841,-4.7220,-94.7033
85%,2030,utility_vre,47.3677,0.0407,47.4084,-4.8108,-96.4836
75%,2030,home_battery,23.4106,0.0045,23.4150,20.4675,48.6637
75%,2030,solar_rooftop,52.7600,0.0216,52.7817,19.0318,45.2502
75%,2030,fuel_stores,13.6062,3.1199,16.7262,11.2056,26.6426
75%,2030,fossil_and_unsustainable_fuel,0.0000,117.5390,117.5390,6.9169,16.4458
75%,2030,carbon_price,0.0000,169.9707,169.9707,4.8166,11.4520
75%,2030,load_shedding,0.0000,3.8658,3.8658,3.8004,9.0358
75%,2030,boilers,5.5468,0.0248,5.5716,3.1953,7.5972
75%,2030,TSO_DC,1.7722,0.0025,1.7747,0.7731,1.8381
75%,2030,oil,0.0000,185.9271,185.9271,0.3639,0.8652
75%,2030,hydrogen,0.1685,6.1005,6.2689,0.0964,0.2293
75%,2030,other,0.1159,0.1122,0.2281,0.0432,0.1027
75%,2030,heat_storage,0.3811,0.0050,0.3861,0.0107,0.0254
75%,2030,gas_storage,31.1245,0.0000,31.1245,0.0032,0.0077
75%,2030,solar_thermal,0.0052,0.0000,0.0052,0.0000,0.0001
75%,2030,residual_vs_objective,0.0000,-0.0000,-0.0000,0.0000,0.0000
75%,2030,grid_battery,7.2825,0.0010,7.2834,-0.0002,-0.0004
75%,2030,ccs,4.3778,0.0068,4.3846,-0.0054,-0.0129
75%,2030,synthetic_fuels,1.2805,0.0011,1.2816,-0.0125,-0.0297
75%,2030,biomass,3.9227,7.3066,11.2292,-0.3027,-0.7197
75%,2030,TSO_AC,0.5772,0.0000,0.5772,-0.5233,-1.2442
75%,2030,firm_power,0.0000,17.2066,17.2066,-1.1508,-2.7363
75%,2030,gas_power,0.0105,0.2781,0.2886,-1.2855,-3.0563
75%,2030,heat_pumps,20.1293,-0.0126,20.1167,-6.2895,-14.9540
75%,2030,DSO,23.0000,0.0285,23.0285,-7.6712,-18.2392
